,artists,titles,uri
80,The Killers,All These Things That I've Done,0kYUrLVQOfx21xuXu7OGrT
81,The Beatles,All Things Must Pass - Anthology 3 Version,25RYJGPnetSkV8le7TeJnR
82,Bahamas,All Time Favourite,7hneDPwMWHSDxFZTaiGbaT
83,The Beatles,All Together Now - Remastered 2009,2ck8lFrYAch2GPtdhpTHe3
84,Perfume Genius,All Waters,6ZMu3XuSt70jbJa7OfHN7X
85,Brazilian Girls,All We Have,7BYRb9EJ90vcBmTHMvmQvm
86,The Beatles,All You Need Is Love,3oGGipilQmZTol8qFTR6u1
87,The Beatles,All You Need Is Love - Remastered 2009,2Z8cY4QpZTFUZxCQCpvNe1
88,The Beatles,All You Need Is Love - Remastered 2009,6tzFM08UuwxhuftjfUqaQA
89,The Beatles,All You Need Is Love - Remastered 2009,68BTFws92cRztMS1oQ7Ewj
90,The Beatles,All You Need Is Love - Remastered 2015,6KqiVlOLfDzJViJVAPym1p
91,Ariane Moffatt,All Yours,6Ul9vDvJrFNlCQpFvXSLr9
92,Lester Young,Almost Like Being In Love,7jgVqaSm3zrJlFrhVYiZj9
93,The Strokes,"Alone, Together",4pXyK9GW7fuT645U0DLYYF
94,The Strokes,"Alone, Together",4UmJMAY5TqXPAnsDW1Mci7
95,Sufjan Stevens,Alphabet St.,13Q8MH3xSfIyXSVIQpIl8H
96,Bahamas,Already Yours,6gyUiLI8CLSy9UIAiHcJ2j
97,Tame Impala,Alter Ego,2Zy9cf5v1tWFDmXTbahAU8
98,Alabama Shakes,Always Alright,17Jg504RgNPNgdpRkJh9Co
99,Cage The Elephant,Always Something,7lWrbqRzkjLIv9SGHUDDnL
100,Michael Kiwanuka,Always Waiting,5pxUPHdS1ItmLjU25AbYLg
101,They Call Me Rico,Am I Wrong,7EIYJ6ina8Zg2jmYKbje6L
102,Other Lives,AM Theme,2j2A7RwqpXtff83skQLzJg
103,Radiohead,The Amazing Sounds of Orgy,4p9RKOnHojKDseLNZi6A93
104,Electric Guest,Amber,6hUoWKThrEV9PtoPIio5TJ
105,TRICOT MACHINE,Ambulance,67a946zFlPNDkdhi0YK7hG
106,Purity Ring,Amenamy,51UseDByqDUbRDQeRWqmhm
107,Estelle,American Boy (feat. Kanye West),41on8RwRh22IHcChAN2gm8
108,Electric Guest,American Daydream,7KBC17M7S7OOiuxpeKwBrM
109,Coldplay,Amsterdam,2uQ4px5SPONsgcUpulywIQ
110,The Beatles,And I Love Her - Anthology 1 Version,74Z5zhIzC2X2UQPS4OLNNp
111,The Beatles,And I Love Her - Remastered 2009,65vdMBskhx3akkG9vQlSH1
112,The Beatles,And Your Bird Can Sing - Take 2 / Anthology 2 Version,4gBHbKEHw2QjmgYkS9ixKJ
113,The Beatles,And Your Bird Can Sing - Remastered 2009,4KRgqwb4kvBuTz1utbYxfb
114,,"Anderson East - Satisfy Me - 3_15_2015 - Riverview Bungalow, Austin, TX",164
115,The Killers,"Andy, You're A Star",3Jm6PDqIputlpeg75EtDic
116,Hozier,Angel of Small Death and the Codeine Scene,3wT3WDdQrsST19f1I08Z1N
117,Hozier,Angel of Small Death and the Codeine Scene,7uY7jZs5srSx3xMmyCI48T
118,Hozier,Angel of Small Death and the Codeine Scene - Live From Spotify London,59o2b2BGgziNyPx9f3xnhA
119,The Lumineers,Angela,0wO3tPeULKGfrArC50Apea
120,Sufjan Stevens,Angels We Have Heard On High,4IQcYP8p7Ts33ajSPkWktw
121,Sufjan Stevens,Angels We Have Heard On High,27xdZ9J1uQPIOWR2yNe8Ey
122,Miike Snow,Animal,6vSq5q5DCs1IvwKIq53hj2
123,Miike Snow,Animal,3HZPvDcGoiEm4GngYjELjw
124,Miike Snow,Animal - Mark Ronson Extended Remix,5Jj8wUicHq3X7nTXorseMr
125,The Dø,Anita No!,6g3kSbl4ASleukET1mjgfp
126,Fujiya & Miyagi,Ankle Injuries,03K4RhOIVA6t2jhHOga4w8
127,The Beatles,Anna (Go To Him) - Remastered 2009,2baEFuU0gQon0hgVRioI1o
128,Mac DeMarco,Annie,4m3jRZFptAhh3d0Qw4r9Vh
129,Mac DeMarco,Annie,4YOc7XAKizsjb2I6Io5P8j
130,Mac DeMarco,Annie,6o9Dt1j9ywLoX8B9dqRM5D
131,Pink Floyd,"Another Brick in the Wall, Pt. 1",7K6xMPtAjTuLPNlJMLf5bS
132,Pink Floyd,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",5Yt80fWRB8JG73XlPjrrKP
133,Pink Floyd,"Another Brick in the Wall, Pt. 2",4gMgiXfqyzZLMhsksGmbQV
134,Pink Floyd,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",3fuXKiEzDCs1IBnLHQ5CL0
135,Pink Floyd,"Another Brick in the Wall, Pt. 3",5A7eooPKJHtr0UJmatjH4a
136,WhoMadeWho,Another Day,1DrF8ELKgHN4WeEFeGmwoP
137,The Beatles,Another Girl - Remastered 2009,7hefVXaGsFPesbK6fKwS6F
138,Mac DeMarco,Another One,3pXAa69soxZ98bQ1gr18HO
139,Queen,Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J
140,Pulp,Ansaphone - Demo previously unreleased,60d37Gxx8O05CH7E2JyN9z
141,Feist,Anti-Pioneer,2cDvWgK22tolskQ4uiVxWb
142,Loco Locass,Antiaméricanisme Primaire,63AIL0vOrm1i0DiBotDeb3
143,Arcade Fire,(Antichrist Television Blues),040YNRWisvvHqy1hUW2Kxe
144,Loco Locass,Antigone,0R5LNRyQyAdgIrBSVXN4He
145,Pink Floyd,Any Colour You Like,6FBPOJLxUZEair6x4kLDhf
146,Michael Kiwanuka,Any Day Will Do Fine,5U7r8PAmvfILOMjmFeYlDL
147,Bahamas,Any Other Way,6rZdXG8fkei9ksN46QrxXu
148,The Beatles,Any Time At All - Remastered 2009,70XHAdaMaoLIOVb1hSaeJ4
149,Tame Impala,Apocalypse Dreams,7qU7vhCPKhkDiJYGoboISc
150,Tahiti Boy,Après l'aéroport,1LADUenCei27c26JD0pg05
151,Real Estate,April's Song,5oWCTlfSwQ1KDx9Ie6HzoI
152,Rita Lee,"Aqui, Ali, Em Qualquer Lugar",7LYqeyKiDMWPnU6tzfqSwE
153,Arctic Monkeys,Arabella,2LdG9xtEzCho3jCr58M6cq
154,Arctic Monkeys,Arabella,7nzsY8vlnKdvGOEE0rjAXZ
155,Dumas,Arizona,6WFkH4SAXn4w9NxuPgIJnX
156,Björk,Army of Me,4juNfpAxJSjVNVYS6z5afp
157,Cage The Elephant,Around My Head,2QLjqCwbufKoZE2S6yJ03F
158,Kings of Leon,Around The World,06ClI3XK2FPR5uP8tPcFS1
159,Daft Punk,Around the World,1pKYYY0dkg23sQQXi0Q5zN
160,Daft Punk,Around the World - Radio Edit [Radio Edit],0TxMRiAvI1s0L821BJJWzx
161,alt-J,Arrival in Nara,4BVm9zEoX4Z73LeFAab0PC
162,Hozier,Arsonist's Lullabye,1UWhx0pFZccP4jdCIZsj7U
163,,Art Of Sleeping cover Drake 'Hotline Bling' for Like A Version,281
164,Slow Hollows,The Art School Kids,4qFs7hvgJ6VRgh1GF8Ynjb
165,Ariane Moffatt,Artifacts,3VHVrLisG9hIsQERpIwGqY
166,Metric,Artificial Nocturne,6MQ4WcZ4dFoSEQryeXi8Ss
167,Jack Johnson,As I Was Saying,29sY1Zgd4BXoVcoiVbiUXi
168,The Hollywood Soundtrack Band,"As the World Falls Down (From ""Labyrinth"")",1oCeqLHu214KyuL7M3zy7B
169,Beach Fossils,Ascension,7sTc4kvzwUEcAHbCdQTRrW
170,The Strokes,Ask Me Anything,5YTHz4OkjJbjov8O0RM9Mj
171,The Beatles,Ask Me Why - Remastered 2009,7529Z6b1rlGZFFPWjHPeV5
172,Karkwa,Au-Dessus De La Tête De Lilijune,2jr53CvuJr1nbW8MbA0e3Y
173,Sufjan Stevens,Auld Lang Syne,6Q90kBnnL27pCMjIhP4k2Y
174,SIMON I,Automatic,7hhxJPWFs2fXdjqPdR6Xx2
175,The Strokes,Automatic Stop,4spZbGNty5ov8s2smDzNPT
176,The Strokes,Automatic Stop,6DUKQUhWqUySYngLXLNwP2
177,Dumas,Avant l'aube,1G4A6J2eXmzve4ripibqN8
178,Damien Robitaille,Avant que vienne l'avalanche,63RfInh5K86gAXzuZb0WUN
179,Stromae,ave cesaria,66u6ycRUqlrW9C05QJUmSo
180,Sufjan Stevens,Ave Maria (feat. Cat Martino),24wNXaxm9GOP5EHOvlJrrq
181,Stromae,avf,5a9vdoeBuXGewh9Oe0CfKA
182,Electric Guest,Awake,6bOdnGr6DSO4vmkXS3y4UM
183,Arcade Fire,Awful Sound (Oh Eurydice),53849j8C8EO07O1gCdzgTr
184,San Cisco,Awkward - EP Version,3qjF2EzZ7Kx0VD1AooRFjy
185,Perfume Genius,AWOL Marine,79OuRKU1m6uXeZ7dYfoTXf
186,Michael Jackson,Baby Be Mine,3bMveJpCPytU79V5A61Bb7
187,Michael Jackson,Baby Be Mine,4JGt7Tf0qpZFn5Pg2S5zHr
188,King Krule,Baby Blue,1jhtxc7ON8ZzgvWGPwWXUN
189,The Beatles,Baby It's You - Remastered 2009,2VmB1rF9FtfKUmFHDVnq8Q
190,The Beatles,Baby's In Black - Live / Bonus Track,5tc3aFZhTcW46vRIk23T6e
191,The Beatles,Baby's In Black - Remastered 2009,7cb2SdLm1UMLwdUoWwrZN1
192,Mac DeMarco,Baby's Wearing Blue Jeans,5CnPPESrUPsVTsb99s42Ej
193,The Beatles,"Baby, You're A Rich Man - Remastered 2009",0JBvtprXP2Z0LP3jmzA7Xp
194,Les Trois Accords,Bac à fleurs,1T5jWMtLkha9dRA2H7ewdq
195,Radio Radio,Bachelor Party,5Dh6bFuBU3PjYfum96irMX
196,Björk,Bachelorette,2wtFzaJcboau7on1LOkQ5a
197,Lester Young,(Back Home Again In) Indiana,7DMlFDUfHPwU5rNplQDc9o
198,Estelle,Back in Love,4iTvdd9nxK68rKiTDGorS7
199,The Beatles,Back In The U.S.S.R,5rJjib4hv7JD1fpf5TzRcr
200,The Beatles,Back In The U.S.S.R. - Remastered 2009,3Pm4mp3Fz6nZAD7L498kGd
201,The Beatles,Back In The U.S.S.R. - Remastered 2009,0j3p1p06deJ7f9xmJ9yG22
202,Miike Snow,Back of the Car,5FtRzorV99FgGUaL0chdxp
203,Amy Winehouse,Back To Black,30FURVTCpbKyykjSEQzGkH
204,Metronomy,Back Together,5LJgwTRqNKBscP2bJ7nhAr
205,The Beatles,Bad Boy - Remastered 2009,7iTjGs5z7opNGCXyurs0Q7
206,Timber Timbre,Bad Ritual,6OAdXCQJKkUqoYSQS0A4rU
207,,Bahamas - Stronger Than That (Buzzsession),172
208,Electric Guest,The Bait,0Sgt5x91TYfXPgiSm4uPud
209,Jean Leloup,Balade à Toronto,2KhXeerI07Z7MKNEn9rLqv
210,The Beatles,The Ballad Of John And Yoko - Remastered 2009,6r7JAngkBzKGDKRUzLgY2U
211,The Beatles,The Ballad Of John And Yoko - Remastered 2009,0iwo02NoGqyooxs81iEkz3
212,The Beatles,The Ballad Of John And Yoko - Remastered 2015,1F7s27lLKshLPt9TPCgMDL
213,Jack Johnson,Banana Pancakes,451GvHwY99NKV4zdKPRWmv
214,Radiohead,Bangers + Mash,2mAWzzAi9pdKwteyg0lNqj
215,Bloc Party,Banquet,2YxXuCdbUpil3P7tRjhW1t
216,Pulp,Bar Italia,01HraRiyqu51c9bafDTg5W
217,Duck Sauce,Barbra Streisand,1WHx2541uqQd3bDNYwwOaC
218,Sufjan Stevens,Barcarola (You Must Be A Christmas Tree),3Owm4uCMV4c56XoyERMMBD
219,The Strokes,Barely Legal,4KC2Z9dL4jL61Ys35N6srg
