artists,titles,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters,id
Mars Red Sky,Strong Reflection,6ST0SyBZwxoB4pVgyEQ26s,0.431,0.5,-7.253,0.0356,0.000958,0.0188,0.11,0.376,119.058,331200.0,6.0,6ST0SyBZwxoB4pVgyEQ26s
Kanye West,Stronger,6C7RJEIUDqKkJRZVWdkfkH,0.625,0.726,-7.731,0.155,0.00728,0.0,0.318,0.483,103.98,311867.0,6.0,6C7RJEIUDqKkJRZVWdkfkH
Bahamas,Stronger Than That,1uQkbSggaHQHNaUqlAIHy4,0.747,0.545,-4.472,0.027,0.463,0.00173,0.0786,0.856,95.894,157040.0,0.0,1uQkbSggaHQHNaUqlAIHy4
The Lumineers,Stubborn Love,0U7jaDYiUurdVWURlrKg0P,0.595,0.56,-11.688,0.0378,0.59,0.0179,0.196,0.248,114.988,278973.0,1.0,0U7jaDYiUurdVWURlrKg0P
Kid Bombardos,Stuck,5FZmUoQpCBwuyTyULpP0bz,0.343,0.88,-5.176,0.0584,0.027,0.063,0.0672,0.902,84.199,175547.0,4.0,5FZmUoQpCBwuyTyULpP0bz
Milky Chance,Stunner,1vAUiNhmQH9Ejjvd5QU1XG,0.737,0.804,-7.725,0.0465,0.0949,0.0,0.186,0.884,98.053,287960.0,4.0,1vAUiNhmQH9Ejjvd5QU1XG
Piano Tribute Players,Stunner,4X5SPQkqFEtL8bfc2ENGRD,0.638,0.39,-17.988,0.0473,0.987,0.945,0.112,0.431,98.041,200067.0,7.0,4X5SPQkqFEtL8bfc2ENGRD
Milky Chance,Stunner,4FkPNu2JHFDJgEsM8y8ve1,0.733,0.811,-7.745,0.046,0.102,0.0,0.195,0.894,98.012,288000.0,4.0,4FkPNu2JHFDJgEsM8y8ve1
The Lumineers,Submarines,2lyu2XFQBRMFThZNF1bNkd,0.668,0.514,-9.857,0.0477,0.919,0.141,0.263,0.611,190.112,163213.0,1.0,2lyu2XFQBRMFThZNF1bNkd
SIMON I,Submission,3xWcWNylr5b0N2QYn9a7t3,0.501,0.934,-4.739,0.078,0.00454,0.000238,0.555,0.789,138.131,163561.0,3.0,3xWcWNylr5b0N2QYn9a7t3
Radiohead,Subterranean Homesick Alien,19yGmm9FjEZdZc5j98WDe4,0.316,0.592,-8.916,0.0296,0.0498,0.00139,0.103,0.32,150.537,267693.0,2.0,19yGmm9FjEZdZc5j98WDe4
C418,Subwoofer Lullaby,1OJxI8lIWRqBvouJxW1nzN,0.329,0.0141,-23.72,0.0398,0.921,0.919,0.104,0.0387,74.011,208562.0,7.0,1OJxI8lIWRqBvouJxW1nzN
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,0.502,0.786,-4.378,0.317,0.255,0.0,0.65,0.739,169.021,243491.0,3.0,4dASQiO1Eoo3RJvt74FtXB
David Bowie,Sue (Or In a Season of Crime),2eT2XA8FH6yKqIO5AbqMjs,0.385,0.868,-5.688,0.0921,0.0219,0.0135,0.632,0.355,170.134,280373.0,3.0,2eT2XA8FH6yKqIO5AbqMjs
Fly Golden Eagle,Sugar On My Tongue,0VmXjHAo3kw1mTemwOk8Rx,0.431,0.574,-8.968,0.0272,0.00525,0.639,0.562,0.511,97.557,340600.0,5.0,0VmXjHAo3kw1mTemwOk8Rx
Radio Radio,SuHold,6XeZAxu3vplOS69WT7EwR6,0.779,0.71,-6.058,0.071,0.175,0.0,0.301,0.937,116.029,200799.0,4.0,6XeZAxu3vplOS69WT7EwR6
Hippo Campus,Suicide Saturday,0scQIzgcOhnmfqfOTpRUFH,0.443,0.719,-5.555,0.033,0.0225,0.0,0.227,0.559,155.895,212885.0,2.0,0scQIzgcOhnmfqfOTpRUFH
Ásgeir,Summer Guest,2x4DW2FItY2bHdOvEm30kM,0.564,0.356,-14.839,0.0267,0.705,0.0569,0.135,0.519,106.06,224614.0,1.0,2x4DW2FItY2bHdOvEm30kM
Justin Hurwitz,Summer Montage / Madeline,6Ne9nKQaonMGXpyvq1S2m5,0.609,0.448,-8.247,0.0288,0.116,0.881,0.306,0.63,107.818,124253.0,5.0,6Ne9nKQaonMGXpyvq1S2m5
WhoMadeWho,The Sun,7z9xJdQKr6EVskLl3LkfLb,0.612,0.752,-3.804,0.0484,0.000246,0.0575,0.0985,0.834,135.002,256933.0,4.0,7z9xJdQKr6EVskLl3LkfLb
The Beatles,Sun King - Remastered 2009,4nwKdZID1ht0lDBJ5h2p87,0.483,0.177,-17.629,0.0277,0.284,0.499,0.116,0.192,74.994,146267.0,7.0,4nwKdZID1ht0lDBJ5h2p87
Tame Impala,Sun's Coming Up,7Jk2pg4g0c5rz5AfkEGMRp,0.286,0.806,-7.056,0.0937,0.956,0.0764,0.615,0.328,123.858,320293.0,3.0,7Jk2pg4g0c5rz5AfkEGMRp
Beirut,A Sunday Smile,2zPVWY47gjrIAVHXQ5wfd9,0.314,0.425,-9.379,0.032,0.896,0.000819,0.304,0.441,161.774,217573.0,1.0,2zPVWY47gjrIAVHXQ5wfd9
Kid Bombardos,Sundays,0AHajgQvYECbQCndjgch5u,0.496,0.674,-6.058,0.0473,0.00645,6.47e-05,0.245,0.966,191.13,130200.0,4.0,0AHajgQvYECbQCndjgch5u
Radio Radio,Sunrise / All Inclusive War Tour (feat. Poncho French),0SkwJdusYjkZeoCf9TagLT,0.665,0.883,-6.335,0.164,0.147,0.00787,0.174,0.536,105.024,374960.0,0.0,0SkwJdusYjkZeoCf9TagLT
Bahamas,Sunshine Blues,0bHrVjuoM6rTF7ACXLOp3Q,0.815,0.213,-13.647,0.0417,0.866,0.0605,0.114,0.368,117.163,140640.0,1.0,0bHrVjuoM6rTF7ACXLOp3Q
Rick James,Super Freak,5vFFwU909VMZIBA7sZPtW0,0.835,0.809,-8.303,0.0521,0.222,0.0,0.0439,0.963,132.461,204547.0,4.0,5vFFwU909VMZIBA7sZPtW0
TRICOT MACHINE,Super ordinaire,26FfcTUMhreHE2YSheGN1u,0.602,0.255,-10.64,0.0438,0.933,0.541,0.0918,0.19,124.578,203173.0,1.0,26FfcTUMhreHE2YSheGN1u
Daft Punk,Superheroes,186hvCTyrni4KT9nwIQ7zS,0.619,0.74,-8.204,0.0789,0.00409,0.00356,0.102,0.674,140.874,237800.0,4.0,186hvCTyrni4KT9nwIQ7zS
Fly Golden Eagle,Superior Circle,4q7E3VdYckNsnBRn4rvFdR,0.255,0.749,-8.465,0.0504,0.00509,0.816,0.0933,0.0572,109.277,395640.0,5.0,4q7E3VdYckNsnBRn4rvFdR
Arcade Fire,Supersymmetry,25r99eqlm3lHGnZHoeg7YX,0.292,0.323,-17.698,0.0745,0.804,0.829,0.351,0.256,107.983,676857.0,5.0,25r99eqlm3lHGnZHoeg7YX
The Lively Ones,Surf Rider,0ejXUaYlMH4TmZerLklBvD,0.58,0.578,-11.823,0.0297,0.184,0.903,0.105,0.846,141.555,199973.0,5.0,0ejXUaYlMH4TmZerLklBvD
Justin Hurwitz,Surprise,4RTprMoYfGKCmYIcIoP0cv,0.602,0.36,-10.927,0.0433,0.236,0.915,0.116,0.587,168.237,90453.0,5.0,4RTprMoYfGKCmYIcIoP0cv
Leonard Cohen,Suzanne,2L93TdW2GMue1H2zlkt30F,0.409,0.172,-16.44,0.0389,0.922,0.00112,0.111,0.352,132.151,229293.0,1.0,2L93TdW2GMue1H2zlkt30F
Timber Timbre,Swamp Magic,6ISZFNhKpqWIMoBOEV7xtT,0.394,0.629,-8.259,0.0397,0.919,0.825,0.241,0.0968,111.031,181240.0,7.0,6ISZFNhKpqWIMoBOEV7xtT
The Rolling Stones,Sway - 2009 Mix,1ZS5HBMAmZk3gjFcedts66,0.33,0.895,-3.435,0.0399,0.221,0.737,0.408,0.54,144.945,232533.0,5.0,1ZS5HBMAmZk3gjFcedts66
Inner Circle,Sweat (A La La La La Long),1SssFw74DdHVjRa6ADggdD,0.787,0.728,-7.705,0.218,0.0124,0.0,0.157,0.94,173.026,227067.0,0.0,1SssFw74DdHVjRa6ADggdD
The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400.0,6.0,2QjOHCTQ1Jl3zawyYOpxh6
Brazilian Girls,Sweatshop,5vIdPoGUqHL1gYsL4QAaKL,0.523,0.55,-8.174,0.0411,0.0572,0.784,0.0595,0.26,89.906,274733.0,5.0,5vIdPoGUqHL1gYsL4QAaKL
C418,Sweden,4NsPgRYUdHu2Q5JRNgXYU5,0.642,0.01,-25.164,0.0446,0.992,0.945,0.103,0.197,87.971,215500.0,7.0,4NsPgRYUdHu2Q5JRNgXYU5
Piano Tribute Players,Sweet Sun,4IrwtZXVZfLvAINZDm3s8t,0.673,0.447,-15.32,0.047,0.984,0.919,0.14,0.331,116.021,201773.0,7.0,4IrwtZXVZfLvAINZDm3s8t
Milky Chance,Sweet Sun,5CXuWIwBnyMVmhAtpHBmuO,0.645,0.92,-7.113,0.042,0.0678,0.0,0.0797,0.921,115.995,274000.0,4.0,5CXuWIwBnyMVmhAtpHBmuO
Cage The Elephant,Sweetie Little Jean,4dpEYOPcmHNfvERbiajp3G,0.524,0.532,-6.07,0.026,0.0285,7.86e-05,0.242,0.367,135.678,224893.0,6.0,4dpEYOPcmHNfvERbiajp3G
Unknown Mortal Orchestra,Swim and Sleep (Like a Shark),0nWNsAGL83rLorldSfdBii,0.766,0.806,-10.011,0.0403,0.124,0.171,0.119,0.76,123.509,165227.0,4.0,0nWNsAGL83rLorldSfdBii
Unknown Mortal Orchestra,Swim and Sleep (Like a Shark) - Acoustic Version,5Bvcl9RyQqCtMFRnEUHiTk,0.704,0.16,-13.493,0.0416,0.879,0.00172,0.183,0.46,131.168,162427.0,1.0,5Bvcl9RyQqCtMFRnEUHiTk
Patrick Watson,Swimming Pools,2xFJd5Ev3h4zYVuXIX43Y2,0.397,0.0172,-28.353,0.059,0.986,0.897,0.113,0.181,125.829,174011.0,7.0,2xFJd5Ev3h4zYVuXIX43Y2
Unknown Mortal Orchestra,Swing Lo Magellan - Acoustic Version,6bDoisDjjFHgvvzwq37lZf,0.734,0.0738,-18.086,0.0451,0.917,0.0238,0.116,0.357,100.335,167667.0,1.0,6bDoisDjjFHgvvzwq37lZf
Lorde,Swingin Party,7otV7kSzDMo11qLlw8pAtr,0.337,0.245,-13.442,0.0384,0.92,2.56e-05,0.119,0.107,107.472,222363.0,1.0,7otV7kSzDMo11qLlw8pAtr
Dead Obies,Swish,2DNlj0aLj0LoKGiCqVzwZZ,0.853,0.72,-5.471,0.293,0.185,0.0,0.34,0.61,127.372,388219.0,0.0,2DNlj0aLj0LoKGiCqVzwZZ
SIMON I,Switzerland in June,7tp8vV2YffdpHYZxdjTlHp,0.628,0.723,-5.724,0.0519,0.00909,0.000374,0.0596,0.88,136.974,199262.0,4.0,7tp8vV2YffdpHYZxdjTlHp
Metric,Synthetica,2rAMEH9r80J7vGtT2ZVuwn,0.375,0.874,-4.069,0.0385,5.06e-05,0.00462,0.104,0.156,158.961,234693.0,2.0,2rAMEH9r80J7vGtT2ZVuwn
Metric,Synthetica - Acoustic,0K3sHr3o2Od6BNCgZwT5lJ,0.521,0.446,-6.964,0.0248,0.351,0.0,0.144,0.207,100.887,174907.0,1.0,0K3sHr3o2Od6BNCgZwT5lJ
The Breeders,T and T,1gqHbbTmvhosxUqYbdcney,0.436,0.582,-11.067,0.0341,0.0925,0.923,0.105,0.376,136.418,116933.0,5.0,1gqHbbTmvhosxUqYbdcney
Philippe Brach,T'aurais pas pu nous prendre à deux,5WSEhaSsKHehsE0AgRd4km,0.626,0.493,-5.435,0.0384,0.614,0.0,0.0888,0.259,114.24,227907.0,1.0,5WSEhaSsKHehsE0AgRd4km
Stromae,Ta fête,7fWWbkok99Tvh8aly2Buox,0.68,0.851,-7.665,0.12,0.00114,0.00193,0.308,0.593,127.954,175427.0,4.0,7fWWbkok99Tvh8aly2Buox
General Elektriks,Take Back The Instant,7mKlQARRdqffUXGmf93NHw,0.584,0.91,-4.57,0.0663,0.0123,0.000219,0.079,0.625,187.937,207200.0,4.0,7mKlQARRdqffUXGmf93NHw
Pink Floyd,Take It Back,325toqbCzE1g1pYIED7U4C,0.469,0.6,-11.155,0.0288,0.132,0.00606,0.273,0.135,112.426,372226.0,6.0,325toqbCzE1g1pYIED7U4C
The Strokes,Take It Or Leave It,0seTertVGvHrEJu7hlIWRq,0.43,0.913,-6.203,0.0389,0.000959,0.369,0.137,0.481,154.06,196067.0,2.0,0seTertVGvHrEJu7hlIWRq
The Strokes,Take It Or Leave It,0J2OnBNKwt0KICDyDFPUvl,0.429,0.924,-6.131,0.0406,0.000542,0.353,0.104,0.484,154.104,195233.0,2.0,0J2OnBNKwt0KICDyDFPUvl
Cage The Elephant,Take It Or Leave It,257IVSkscpKixJ50jAGfZK,0.704,0.846,-3.034,0.0922,0.0271,0.000269,0.063,0.653,119.946,207313.0,4.0,257IVSkscpKixJ50jAGfZK
LMFAO,Take It To The Hole,4YjYsTU7JcrUhJUjSbOqOX,0.708,0.79,-5.341,0.0665,0.00274,0.0,0.399,0.721,119.97,216853.0,4.0,4YjYsTU7JcrUhJUjSbOqOX
Perfume Genius,Take Me Home,4qkqqKgFjEF88fzlt8erpg,0.222,0.355,-10.173,0.0309,0.43,0.00772,0.0923,0.48,186.108,160347.0,2.0,4qkqqKgFjEF88fzlt8erpg
Franz Ferdinand,Take Me Out,6ooluO7DiEhI1zmK94nRCM,0.278,0.676,-8.821,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027.0,6.0,6ooluO7DiEhI1zmK94nRCM
Hozier,Take Me to Church,0aOluBqXYd0rFSCsgDyAWX,0.575,0.664,-5.303,0.0481,0.637,0.0,0.116,0.437,129.07,241693.0,6.0,0aOluBqXYd0rFSCsgDyAWX
Hozier,Take Me to Church,7J4gq1xNP3IsG6lDk0eSa7,0.572,0.661,-5.304,0.0472,0.59,0.0,0.121,0.386,129.093,241587.0,6.0,7J4gq1xNP3IsG6lDk0eSa7
Hozier,Take Me to Church - Live From Spotify London,6d0wEqM0jJTNv1asKflGGi,0.624,0.217,-9.54,0.0481,0.859,0.0,0.7,0.287,124.958,246493.0,3.0,6d0wEqM0jJTNv1asKflGGi
Hozier,Take Me to Church - Live in America - Spring/Summer 2015,1cmuZLsrQ0XN4ldFGeIKpI,0.352,0.739,-4.862,0.0356,0.299,7.81e-05,0.956,0.302,130.655,260293.0,3.0,1cmuZLsrQ0XN4ldFGeIKpI
a-ha,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,225280.0,4.0,2WfaOiMkCvy7F5fcp2zZ8L
The Strokes,Taken for a Fool,6SdAztAqklk1zAmUHhU4N7,0.569,0.89,-4.447,0.0559,0.00595,0.0112,0.226,0.885,137.044,203240.0,4.0,6SdAztAqklk1zAmUHhU4N7
K.I.D,Taker,6fDJTagM4pcxIXDtO9EP9u,0.477,0.964,-3.906,0.0629,0.0045,3.33e-06,0.102,0.929,179.96,201893.0,4.0,6fDJTagM4pcxIXDtO9EP9u
Beach Fossils,Taking Off,7jg9px5ZoIX9MzYrQ27Z37,0.517,0.837,-5.561,0.0349,0.00074,0.548,0.114,0.792,140.011,189052.0,4.0,7jg9px5ZoIX9MzYrQ27Z37
Radiohead,Talk Show Host,4PC980ogog96vWJyTNffrP,0.436,0.659,-11.344,0.0563,0.344,0.031,0.0854,0.453,177.172,257227.0,2.0,4PC980ogog96vWJyTNffrP
Brazilian Girls,Talk To The Bomb,6dUk3McgXlI5zublTmqYEp,0.65,0.93,-6.11,0.155,0.0885,0.00393,0.335,0.377,119.986,342920.0,6.0,6dUk3McgXlI5zublTmqYEp
Real Estate,Talking Backwards,0ZwlxoHAnvkCRjsOrHAleU,0.408,0.875,-6.036,0.0301,0.0299,0.823,0.169,0.56,150.782,187733.0,5.0,0ZwlxoHAnvkCRjsOrHAleU
Pixies,Tame,0jAr9A17yhReqbNLCrM0LO,0.555,0.786,-6.416,0.0707,0.00404,0.758,0.4,0.91,137.392,116133.0,4.0,0jAr9A17yhReqbNLCrM0LO
,Tame Impala - The Less I Know The Better (live),298,,,,,,,,,,,,
Fly Golden Eagle,Tangible Intangible,4oppGjEIBXO0a63FYYjCbk,0.466,0.704,-8.626,0.0274,0.154,0.000656,0.148,0.59,104.074,312027.0,6.0,4oppGjEIBXO0a63FYYjCbk
The Strokes,Tap Out,2ThdB23G9Rgf1ExndFGEEg,0.737,0.745,-5.944,0.0351,0.0176,0.381,0.306,0.629,115.989,222360.0,4.0,2ThdB23G9Rgf1ExndFGEEg
Jack Johnson,Tape Deck,0Etdshb7TsPs3kPII6V0cR,0.761,0.752,-5.144,0.0673,0.611,0.0676,0.0516,0.848,147.216,201227.0,4.0,0Etdshb7TsPs3kPII6V0cR
alt-J,Taro,4tmwiN9YU7xMjh2hoqcVuI,0.359,0.48,-10.634,0.0349,0.779,0.00328,0.0784,0.283,171.75,305981.0,1.0,4tmwiN9YU7xMjh2hoqcVuI
The Beatles,A Taste Of Honey - Remastered 2009,7fh53ta3vAOGJMQ4i5tCHe,0.42,0.372,-11.416,0.0327,0.698,0.0,0.104,0.412,101.408,123480.0,1.0,7fh53ta3vAOGJMQ4i5tCHe
Vampire Weekend,Taxi Cab,1bkfNYTlzatI8loSL0TXlg,0.694,0.364,-15.761,0.0668,0.295,0.493,0.0796,0.69,167.941,235733.0,5.0,1bkfNYTlzatI8loSL0TXlg
The Beatles,Taxman - Take 11 / Anthology 2 Version,5hjEV7SXomAtsKbGoUu0eD,0.468,0.517,-9.664,0.0573,0.0636,0.0,0.258,0.873,132.471,152173.0,4.0,5hjEV7SXomAtsKbGoUu0eD
The Beatles,Taxman - Remastered 2009,4BRkPBUxOYffM2QXVlq7aC,0.469,0.596,-8.348,0.0749,0.0101,0.0,0.321,0.783,133.586,158853.0,4.0,4BRkPBUxOYffM2QXVlq7aC
,Taylor Swift covers Vance Joy's Riptide in the Live Lounge,209,,,,,,,,,,,,
Radio Radio,Tcheindre Together,4PJzmHR3kVO0fC8oljkSDw,0.793,0.734,-5.886,0.185,0.019,5.82e-06,0.17,0.756,127.951,212413.0,0.0,4PJzmHR3kVO0fC8oljkSDw
Lester Young,Tea For Two,2ivBbLdt0jFnc2NonuYBaq,0.502,0.403,-12.038,0.0472,0.947,0.347,0.101,0.673,133.296,465173.0,1.0,2ivBbLdt0jFnc2NonuYBaq
Daft Punk,Teachers,4ZdjCuiWBv2weLftWPJ72c,0.98,0.486,-7.31,0.251,0.03,0.823,0.0995,0.823,123.206,173493.0,0.0,4ZdjCuiWBv2weLftWPJ72c
Lorde,Team,15jRg8Ejs7X3JEHw38TSN3,0.69,0.578,-7.436,0.0929,0.167,0.0,0.305,0.416,99.961,193059.0,6.0,15jRg8Ejs7X3JEHw38TSN3
Lorde,Team,3G6hD9B2ZHOsgf4WfNu7X1,0.69,0.578,-7.436,0.0929,0.167,0.0,0.305,0.416,99.961,193059.0,6.0,3G6hD9B2ZHOsgf4WfNu7X1
Twenty One Pilots,Tear in My Heart,3bnVBN67NBEzedqQuWrpP4,0.655,0.632,-4.802,0.0489,0.0189,0.0,0.0722,0.447,120.113,188493.0,6.0,3bnVBN67NBEzedqQuWrpP4
Amy Winehouse,Tears Dry On Their Own,6yLX8QnxlnEqZfs3YKCfjF,0.643,0.871,-2.734,0.118,0.491,0.0,0.29,0.452,121.569,185187.0,6.0,6yLX8QnxlnEqZfs3YKCfjF
Daft Punk,Technologic - Radio Edit [Radio Edit],4yjlWacI4vXSwtE7Kq7rUH,0.791,0.56,-5.774,0.236,0.000356,1.05e-06,0.107,0.712,127.458,166587.0,0.0,4yjlWacI4vXSwtE7Kq7rUH
The Beatles,Teddy Boy - Anthology 3 Version,1MrvutXz2Ba0elf4OmZA8z,0.678,0.434,-11.51,0.104,0.494,0.0,0.175,0.766,73.872,198453.0,0.0,1MrvutXz2Ba0elf4OmZA8z
Katy Perry,Teenage Dream,55qBw1900pZKfXJ6Q9A2Lc,0.719,0.804,-4.581,0.0355,0.0132,3.02e-06,0.139,0.605,119.999,227760.0,4.0,55qBw1900pZKfXJ6Q9A2Lc
Katy Perry,Teenage Dream,5jzKL4BDMClWqRguW5qZvh,0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,227741.0,4.0,5jzKL4BDMClWqRguW5qZvh
The Undertones,Teenage Kicks,0thY9tOSKUd8WSdbgfJzcj,0.395,0.763,-4.573,0.0443,0.000181,0.0,0.17,0.477,134.983,147187.0,2.0,0thY9tOSKUd8WSdbgfJzcj
Cage The Elephant,Teeth,0XjGNZBJuZoGMpSmorv6fz,0.301,0.978,-1.194,0.11,0.204,0.00171,0.0717,0.222,133.613,327021.0,2.0,0XjGNZBJuZoGMpSmorv6fz
Fly Golden Eagle,Tehuacana,0dO0q0guGCFzKmiC2fNyiq,0.194,0.689,-8.313,0.0417,0.00136,0.498,0.116,0.437,133.692,325507.0,5.0,0dO0q0guGCFzKmiC2fNyiq
Cage The Elephant,Telescope,272WzJYX3bXteV3cbfGeK6,0.593,0.481,-4.813,0.0278,0.307,1.46e-05,0.0958,0.147,93.476,228295.0,6.0,272WzJYX3bXteV3cbfGeK6
Michael Kiwanuka,Tell Me A Tale,53FDTBIdxQdvi6zToOHVJA,0.346,0.583,-8.776,0.0274,0.456,1.11e-06,0.0988,0.686,97.864,249745.0,1.0,53FDTBIdxQdvi6zToOHVJA
The Beatles,Tell Me What You See - Remastered 2009,2jnr9KaaMAmvk0zMcM9UzV,0.592,0.796,-8.125,0.0429,0.061,0.0,0.131,0.7,136.675,157987.0,4.0,2jnr9KaaMAmvk0zMcM9UzV
The Beatles,Tell Me Why - Remastered 2009,0Wzp5pWPoX0YoBg002HXL9,0.267,0.688,-6.309,0.0388,0.586,0.0,0.307,0.797,150.942,128693.0,4.0,0Wzp5pWPoX0YoBg002HXL9
The Black Keys,Ten Cent Pistol,2qoLCpTRYv6h8Vx94hxkvl,0.588,0.488,-8.462,0.03,0.325,0.0139,0.18,0.328,104.717,269307.0,6.0,2qoLCpTRYv6h8Vx94hxkvl
Macklemore & Ryan Lewis,Ten Thousand Hours,4kb6pH28RIiSSVd2kfS1S0,0.374,0.758,-7.566,0.305,0.199,0.0,0.144,0.535,83.821,249534.0,0.0,4kb6pH28RIiSSVd2kfS1S0
Lorde,Tennis Court,74fpNVAJrKGQuqHETi4WSt,0.764,0.567,-8.585,0.0609,0.0126,9.51e-05,0.257,0.428,89.988,198907.0,6.0,74fpNVAJrKGQuqHETi4WSt
Lorde,Tennis Court,4ivBdCI1s9f6yDWFUvBtZo,0.758,0.546,-8.597,0.0635,0.0156,0.000194,0.237,0.404,90.019,198907.0,6.0,4ivBdCI1s9f6yDWFUvBtZo
Ariane Moffatt,Terminus,20hvFkrPpx3pA1ovLoXjgN,0.527,0.733,-9.824,0.0259,0.323,0.83,0.0627,0.805,79.99,275360.0,5.0,20hvFkrPpx3pA1ovLoXjgN
Nirvana,Territorial Pissings,2jmVGWe4MYY1zAAzpFHHcC,0.285,0.979,-4.428,0.175,0.000144,0.0,0.334,0.108,182.7,142947.0,2.0,2jmVGWe4MYY1zAAzpFHHcC
Ariane Moffatt,Tes Invectives,6zwVOjTq5sI0vNx3SEwowp,0.638,0.387,-11.248,0.039,0.0969,0.248,0.107,0.131,90.132,231600.0,1.0,6zwVOjTq5sI0vNx3SEwowp
Mild High Club,Tesselation,23Bng9pVMScjp7Q0tvMm0T,0.668,0.406,-9.466,0.0321,0.138,0.13,0.096,0.548,73.998,152825.0,6.0,23Bng9pVMScjp7Q0tvMm0T
alt-J,Tessellate,1o22EcqsCANhwYdaNOSdwS,0.702,0.607,-6.509,0.0405,0.364,0.0271,0.123,0.436,116.969,181400.0,6.0,1o22EcqsCANhwYdaNOSdwS
alt-J,Tessellate - Ben De Vries Remix,65fh2b2fPmwcWPIJQFl2Vd,0.649,0.707,-9.287,0.0543,0.0419,0.609,0.138,0.369,120.912,246741.0,5.0,65fh2b2fPmwcWPIJQFl2Vd
The xx,Test Me,3qLwtC9jEWugjkzyZlYgeg,0.253,0.177,-17.696,0.042,0.904,0.0615,0.119,0.0395,120.259,235827.0,7.0,3qLwtC9jEWugjkzyZlYgeg
Louis-Jean Cormier,Tête première,7MUHJdOtvdub1IKgGkurNQ,0.383,0.419,-6.783,0.0322,0.839,1.25e-05,0.353,0.416,123.342,259133.0,1.0,7MUHJdOtvdub1IKgGkurNQ
The Beatles,Thank You Girl - Remastered 2009,3k6zSunlStXxWF0s1063lk,0.553,0.71,-10.492,0.0314,0.449,1.19e-06,0.0989,0.972,137.717,123600.0,4.0,3k6zSunlStXxWF0s1063lk
John Williams,That Girl with the Staff,3O5GA5BWJVfvIBIO0ZLlV1,0.0773,0.0288,-25.074,0.0373,0.934,0.946,0.417,0.0376,70.406,118733.0,7.0,3O5GA5BWJVfvIBIO0ZLlV1
The Beatles,That Means A Lot - Anthology 2 Version,5845nYfGBbBomqEnf7pC7Q,0.433,0.813,-7.096,0.0432,0.00446,0.00015,0.0546,0.523,124.225,146373.0,6.0,5845nYfGBbBomqEnf7pC7Q
Grupo Fantasma,That Night,1zzkiWHrZYla9PhliGliR7,0.636,0.867,-3.678,0.0383,0.133,0.00323,0.188,0.929,116.81,242264.0,4.0,1zzkiWHrZYla9PhliGliR7
Chet Baker,That Old Feeling,2d64G7VaZdHQuAquz5HQNu,0.643,0.175,-16.813,0.0391,0.633,4.24e-05,0.143,0.642,78.031,183893.0,1.0,2d64G7VaZdHQuAquz5HQNu
The Quarrymen,That'll Be The Day - Anthology 1 Version,5AxDzt8VmHreQaDatK6TD5,0.639,0.484,-7.892,0.0469,0.992,0.0,0.112,0.893,134.468,127680.0,1.0,5AxDzt8VmHreQaDatK6TD5
Cage The Elephant,That's Right,7rUkzuaCFJx2UwXTWEpcDe,0.518,0.877,-6.644,0.0373,0.017,0.448,0.151,0.625,95.408,232947.0,6.0,7rUkzuaCFJx2UwXTWEpcDe
Bob Marley & The Wailers,"Them Belly Full (But We Hungry) - Live At The Lyceum, London/1975",1f7SJ4JTBasr9uatHUXLfg,0.708,0.84,-8.702,0.112,0.477,0.00554,0.685,0.892,146.637,276293.0,3.0,1f7SJ4JTBasr9uatHUXLfg
WhoMadeWho,There’s An Answer,3qHXzf0by16xKOo0W0SBbY,0.577,0.384,-13.845,0.0409,0.164,0.676,0.11,0.116,139.992,255733.0,5.0,3qHXzf0by16xKOo0W0SBbY
Leon Bridges,There She Goes,7wwkhCE1rHAHxpfu5TtvDa,0.66,0.693,-6.764,0.0654,0.374,0.0,0.299,0.923,145.019,156600.0,4.0,7wwkhCE1rHAHxpfu5TtvDa
Justin Hurwitz,There The Whole Time / Twirl,1v4OVieCzFZxIaGL6XmN2X,0.438,0.0673,-25.804,0.0504,0.92,0.735,0.116,0.0853,122.845,44387.0,7.0,1v4OVieCzFZxIaGL6XmN2X
Chet Baker,There Will Never Be Another - Live Remastered,54yb0lR0tYNGOjsBMwouJe,0.481,0.5,-11.797,0.0492,0.758,0.00312,0.637,0.575,121.742,971493.0,3.0,54yb0lR0tYNGOjsBMwouJe
Lester Young,There Will Never Be Another You,1eghoZLe436O2AHiZaoGVQ,0.559,0.0348,-17.576,0.0484,0.989,0.231,0.0925,0.382,83.089,208469.0,7.0,1eghoZLe436O2AHiZaoGVQ
