artists,titles,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters,id
John Williams,The Abduction,2vEkF5UazjaBL6CpG2BZgq,0.159,0.23,-15.441,0.033,0.672,0.848,0.0951,0.0632,84.933,145293.0,7.0,2vEkF5UazjaBL6CpG2BZgq
Cage The Elephant,Aberdeen,6GWS0Nb3ybf3tQXZ0FlfZf,0.154,0.972,-3.626,0.111,0.000913,0.247,0.368,0.213,205.467,192920.0,2.0,6GWS0Nb3ybf3tQXZ0FlfZf
The Whitest Boy Alive,Above You,5FcjGGKpQx6dvuGcbAcFtC,0.725,0.774,-6.402,0.174,0.135,0.126,0.0844,0.72,78.976,194960.0,0.0,5FcjGGKpQx6dvuGcbAcFtC
Sufjan Stevens,Abraham,4YpfqCRwb3ttShlTNaB2jU,0.365,0.0299,-20.546,0.0709,0.946,0.49,0.111,0.255,80.762,153693.0,7.0,4YpfqCRwb3ttShlTNaB2jU
The Beatles,Across The Universe - Take 2 / Anthology 2 Version,00fyPXxe2SCBHnFwEO9Eh1,0.488,0.341,-11.907,0.0256,0.681,0.0,0.0844,0.463,79.377,212120.0,1.0,00fyPXxe2SCBHnFwEO9Eh1
The Beatles,Across The Universe - World Wildlife Fund Version / Remastered 2009,691jw4auDZjaTOwUJmtoSy,0.461,0.575,-10.709,0.0538,0.517,0.0,0.138,0.549,82.634,229173.0,1.0,691jw4auDZjaTOwUJmtoSy
The Beatles,Across The Universe - Remastered 2009,4dkoqJrP0L8FXftrMZongF,0.257,0.412,-11.788,0.0287,0.361,8.68e-05,0.0702,0.858,152.126,228133.0,2.0,4dkoqJrP0L8FXftrMZongF
The Beatles,Across The Universe - Remastered 2009,2Yh0H2OXI2UItG9GGfQzlK,0.252,0.395,-12.323,0.0283,0.405,0.000119,0.0635,0.84,154.06,229787.0,2.0,2Yh0H2OXI2UItG9GGfQzlK
The Beatles,Act Naturally - Remastered 2009,0IxxqsYBcCHEQ1HqLYJnwx,0.702,0.447,-10.122,0.0308,0.366,0.0,0.153,0.944,93.02,150373.0,0.0,0IxxqsYBcCHEQ1HqLYJnwx
Lester Young,Ad Lib Blues,1aQmitUScES0kpdge6BtF4,0.704,0.317,-13.127,0.0551,0.956,0.499,0.139,0.783,108.165,354333.0,1.0,1aQmitUScES0kpdge6BtF4
